Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR160123_2	71.63397101573942	16.83350267424203	5.2454153289949055	2.0152913080446875	0.8807125354617757	0.48179527645525894	0.3193584093105005	0.23107144287231926	0.19303474694598993	1.4816396011136401	0.42259099257228977	0.2616166682471249	0.0	0.0	0.0	0.0
ERR160123_2_val_2	69.7322904289919	18.009005659875964	5.6238703875899345	2.119946580188377	0.9302439085014375	0.523304721099316	0.3256258242519502	0.23429814940381638	0.19626673896901956	1.5991977703104665	0.4333323091912703	0.27261752162648545	0.0	0.0	0.0	0.0
ERR160124_1	64.31275293909732	20.360522218616897	6.805541938764581	2.594512307296735	1.1845456037441338	0.6652137303843922	0.43897751708417393	0.3248451031480983	0.26984933631401026	1.94997943465979	0.5119364694947636	0.5796150518270734	0.001708349567962614	0.0	0.0	0.0
ERR160124_1_val_1	63.82830443114854	20.82857361114811	6.789278147630894	2.5726944703767054	1.204826552550741	0.674456683045768	0.45022259224297934	0.3189868407346319	0.262977142153309	1.9346730842998143	0.5401014054164768	0.5931156809269688	0.0017893583250108286	0.0	0.0	0.0
ERR160124_2	68.97009429393007	18.09212147610818	5.807133735772658	2.1239242000931755	0.9734887124695751	0.5731402927725794	0.3657961718982616	0.26863448973449094	0.2024692622099264	1.6611325093601206	0.4610050552143192	0.5010598004366316	0.0	0.0	0.0	0.0
ERR160124_2_val_2	67.61054078185995	18.963048919106832	5.996867295583887	2.2081898672364764	1.0127772833249347	0.5893797253984123	0.38605802319925836	0.28287313242176965	0.22679405897766103	1.7220853153471327	0.48878444861760134	0.5126011489261049	0.0	0.0	0.0	0.0
ERR160125_1	65.25662857973462	19.877495019498404	6.357159206146081	2.4643822401754374	1.1072854209395864	0.6751332147785131	0.45694374665772636	0.3438382624820457	0.26470395264189217	2.09292365135476	0.5283062253220026	0.5752004802689092	0.0	0.0	0.0	0.0
ERR160125_1_val_1	64.58113582989971	20.455693385830322	6.467230525724781	2.419649479981912	1.0995366145633603	0.6924353110570441	0.4702218466557254	0.31084368477009705	0.28805539095916766	2.094848174337812	0.5700141322421286	0.5503356239778935	0.0	0.0	0.0	0.0
ERR160125_2	70.5001674748594	17.236500786980578	5.189640859493422	2.0088403497091885	0.9654232727777488	0.5459679934094859	0.4209775524220171	0.28967689742686537	0.2305861066510922	1.6807377982911071	0.4994978980919101	0.4319830098871601	0.0	0.0	0.0	0.0
ERR160125_2_val_2	68.97248613987166	18.198950435998206	5.46351655379667	2.0220128698417628	1.024767415332355	0.5692251395467247	0.44025217637912945	0.2988890635329851	0.2589480580932782	1.7863310878723608	0.5152789651149332	0.44934209461991736	0.0	0.0	0.0	0.0
ERR160126_1	64.53669401374191	20.131315513135373	6.649982260403776	2.5474413864982575	1.1348571777665541	0.70085506808438	0.4465122975373372	0.3333924434085635	0.2915429541046145	2.024932556921889	0.49908014470186524	0.6990155195940364	0.004378664101495689	0.0	0.0	0.0
ERR160126_1_val_1	64.01632660955788	20.621092054921697	6.686027656670339	2.484810368134455	1.1653237320784513	0.6740801524436529	0.4578766962207233	0.3296344457617402	0.2968789627861615	2.0699387510300498	0.5118836141363133	0.681330482418119	0.004796473840370552	0.0	0.0	0.0
ERR160126_2	71.3675801069277	16.76171085782744	5.169513777883125	1.9215597040911168	0.8599314559036669	0.5426929163655881	0.32813686033868605	0.2832829323577193	0.21001665703348163	1.6141188017402646	0.3985204802364349	0.5429354492946707	0.0	0.0	0.0	0.0
