Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR160129_1_val_1	21.032804378074104	41.0	91.32366121242427	94	9.090909090909092	22624407.0
ERR160129_2	17.117064666679852	42.0	101.0	101	27.27272727272727	25095909.0
ERR160129_2_val_2	18.185240534883732	41.0	82.38949599872386	86	18.181818181818183	22624407.0
ERR160130_1	21.629937302054742	42.0	101.0	101	0.0	38467480.0
ERR160130_1_val_1	21.823182482222563	42.0	91.25474358652664	94	9.090909090909092	34911348.0
ERR160130_2	18.379455636109768	43.0	101.0	101	18.181818181818183	38467480.0
ERR160130_2_val_2	19.327604529261606	42.0	82.26633718067833	86	18.181818181818183	34911348.0
ERR160131_1	19.051310583085623	42.0	101.0	101	0.0	28944425.0
ERR160131_1_val_1	18.94043060787955	42.0	91.45881210953755	94	9.090909090909092	25208890.0
ERR160131_2	11.259815889733517	43.0	101.0	101	18.181818181818183	28944425.0
ERR160131_2_val_2	13.669663485930329	42.0	80.3824565857521	84	18.181818181818183	25208890.0
ERR160132_1	22.118839096259308	42.0	101.0	101	0.0	44150645.0
ERR160132_1_val_1	22.342002683488346	42.0	91.30851974676835	94	9.090909090909092	40466191.0
ERR160132_2	19.25020903024209	43.0	101.0	101	18.181818181818183	44150645.0
ERR160132_2_val_2	20.12595835895648	42.0	82.48069920887785	86	18.181818181818183	40466191.0
ERR160133_1	20.86651303793971	42.0	101.0	101	9.090909090909092	33059128.0
ERR160133_1_val_1	21.341036647269405	42.0	90.93658473375056	94	9.090909090909092	29525903.0
ERR160133_2	17.50381754660836	43.0	101.0	101	18.181818181818183	33059128.0
ERR160133_2_val_2	18.557181316232203	42.0	82.22586574236189	86	18.181818181818183	29525903.0
ERR160134_1	22.212780789151438	43.0	101.0	101	0.0	50272110.0
ERR160134_1_val_1	22.47596200008853	42.0	91.16438906074998	94	9.090909090909092	45389693.0
ERR160134_2	18.997669288016226	43.0	101.0	101	18.181818181818183	50272110.0
ERR160134_2_val_2	20.047016162880354	42.0	81.90812495691478	86	18.181818181818183	45389693.0
ERR160135_1	26.57366241242343	40.0	101.0	101	0.0	29568882.0
ERR160135_1_val_1	27.170310437098024	40.0	91.74922993087088	94	9.090909090909092	27074842.0
ERR160135_2	23.271930852605905	41.0	101.0	101	27.27272727272727	29568882.0
ERR160135_2_val_2	24.580583953534983	40.0	83.27550410081803	88	18.181818181818183	27074842.0
ERR160136_1	24.42978859397627	40.0	101.0	101	9.090909090909092	34075575.0
ERR160136_1_val_1	24.877500744548897	40.0	91.69000185366743	94	9.090909090909092	31283929.0
ERR160136_2	21.659544207864343	41.0	101.0	101	27.27272727272727	34075575.0
ERR160136_2_val_2	22.769117621725556	40.0	82.83637569948455	86	18.181818181818183	31283929.0
ERR160137_1	26.401156476267957	41.0	101.0	101	0.0	45152396.0
ERR160137_1_val_1	26.704571260250347	41.0	91.6882316849111	94	9.090909090909092	41689137.0
ERR160137_2	22.962667322554665	41.0	101.0	101	18.181818181818183	45152396.0
ERR160137_2_val_2	24.091851865593526	41.0	82.8477819053918	86	18.181818181818183	41689137.0
ERR160138_1	24.655486992726196	41.0	101.0	101	0.0	31584186.0
ERR160138_1_val_1	24.97308074400155	40.0	91.8254986154878	94	9.090909090909092	29121087.0
ERR160138_2	21.535135911164275	41.0	101.0	101	18.181818181818183	31584186.0
ERR160138_2_val_2	22.614210726529734	40.0	83.04149470794137	86	18.181818181818183	29121087.0
ERR160139_1	24.568366889480586	41.0	101.0	101	0.0	23568325.0
ERR160139_1_val_1	25.011857352691933	40.0	91.72727492723968	94	9.090909090909092	21529249.0
ERR160139_2	21.17761420041971	41.0	101.0	101	27.27272727272727	23568325.0
ERR160139_2_val_2	22.397145704893234	40.0	83.04672067288553	86	18.181818181818183	21529249.0
ERR160140_1	27.632379577936987	41.0	101.0	101	0.0	37258263.0
ERR160140_1_val_1	27.98744236018372	40.0	91.78847889238779	94	9.090909090909092	34423600.0
ERR160140_2	24.032921130172497	41.0	101.0	101	18.181818181818183	37258263.0
ERR160140_2_val_2	25.196388901971247	40.0	83.29213713847477	88	18.181818181818183	34423600.0
ERR160141_1	17.98060107428934	42.0	101.0	101	9.090909090909092	28058927.0
ERR160141_1_val_1	18.308373256643833	42.0	91.72550330458554	94	9.090909090909092	25509553.0
ERR160141_2	12.923765260473559	42.0	101.0	101	27.27272727272727	28058927.0
ERR160141_2_val_2	13.552376156091555	41.0	82.4818092265278	88	18.181818181818183	25509553.0
ERR160142_1	18.523233863274896	41.0	101.0	101	9.090909090909092	26381226.0
ERR160142_1_val_1	18.932999817837043	41.0	91.63192668430437	94	9.090909090909092	23946414.0
ERR160142_2	13.884113293934831	42.0	101.0	101	27.27272727272727	26381226.0
ERR160142_2_val_2	14.60703495134446	41.0	83.00525940961349	88	18.181818181818183	23946414.0
ERR160143_1	19.02347662536657	42.0	101.0	101	0.0	29868417.0
ERR160143_1_val_1	19.585100225891694	42.0	91.37058793974914	94	9.090909090909092	26889507.0
ERR160143_2	14.296114712786022	43.0	101.0	101	18.181818181818183	29868417.0
ERR160143_2_val_2	15.09521190344465	42.0	83.03868032984019	88	18.181818181818183	26889507.0
ERR160144_1	19.973026516267055	42.0	101.0	101	0.0	31406779.0
ERR160144_1_val_1	20.527522405455258	42.0	91.27937839631547	94	9.090909090909092	28269974.0
ERR160144_2	14.24559851711227	42.0	101.0	101	18.181818181818183	31406779.0
ERR160144_2_val_2	15.241252534993762	41.0	82.73874514352224	88	18.181818181818183	28269974.0
ERR160145_1	18.839294020582557	42.0	101.0	101	0.0	38081244.0
ERR160145_1_val_1	19.314803379767568	42.0	91.55370124529749	94	9.090909090909092	34431371.0
ERR160145_2	14.09421030490472	43.0	101.0	101	18.181818181818183	38081244.0
ERR160145_2_val_2	14.833769542496015	42.0	82.70596788027987	88	18.181818181818183	34431371.0
ERR160146_1	18.298019409966088	42.0	101.0	101	0.0	29806267.0
ERR160146_1_val_1	18.69956570291326	42.0	91.42768108993394	94	9.090909090909092	27049419.0
ERR160146_2	13.691071617416512	42.0	101.0	101	18.181818181818183	29806267.0
ERR160146_2_val_2	14.402979212977769	42.0	83.06349293491294	88	18.181818181818183	27049419.0
ERR160147_1	17.655627060124587	42.0	101.0	101	9.090909090909092	20529750.0
ERR160147_1_val_1	17.73429594865074	42.0	95.1616643954646	96	9.090909090909092	20527309.0
ERR160147_2	13.1951830646249	42.0	101.0	101	9.090909090909092	20529750.0
ERR160147_2_val_2	13.222314588698836	43.0	95.25367499461328	96	9.090909090909092	20527309.0
ERR160148_1	20.216697583883487	43.0	101.0	101	9.090909090909092	26939256.0
ERR160148_1_val_1	20.75180301077411	43.0	91.83463515983247	96	9.090909090909092	24978623.0
ERR160148_2	18.865257727546364	43.0	101.0	101	9.090909090909092	26939256.0
ERR160148_2_val_2	18.982984547621157	43.0	91.43236454627623	96	18.181818181818183	24978623.0
ERR160149_1	20.28097620451568	43.0	101.0	101	9.090909090909092	23182732.0
ERR160149_1_val_1	20.69322524963627	43.0	91.91652063357802	96	9.090909090909092	21450618.0
ERR160149_2	18.62804396023698	43.0	101.0	101	9.090909090909092	23182732.0
ERR160149_2_val_2	18.568477207216887	43.0	91.56567694226806	96	18.181818181818183	21450618.0
ERR160150_1	21.581777071987688	43.0	101.0	101	9.090909090909092	21698497.0
ERR160150_1_val_1	21.963601595103697	43.0	92.09933719549731	96	9.090909090909092	20040751.0
ERR160150_2	20.105176397188956	44.0	101.0	101	9.090909090909092	21698497.0
ERR160150_2_val_2	20.175955566502367	43.0	91.4558587150751	96	18.181818181818183	20040751.0
ERR160151_1	19.967383218520425	43.0	101.0	101	9.090909090909092	22777283.0
ERR160151_1_val_1	20.59358031700181	43.0	91.73818008581425	96	9.090909090909092	20948735.0
ERR160151_2	18.694072453018904	43.0	101.0	101	9.090909090909092	22777283.0
ERR160151_2_val_2	18.848780939003518	43.0	91.55799860946257	96	18.181818181818183	20948735.0
ERR160152_1	20.917076679659274	43.0	101.0	101	9.090909090909092	19125261.0
ERR160152_1_val_1	21.613136825438545	42.0	91.60814056692928	96	9.090909090909092	17535732.0
ERR160152_2	19.160144510073224	43.0	101.0	101	9.090909090909092	19125261.0
ERR160152_2_val_2	19.464153939629213	43.0	91.43545088394372	96	18.181818181818183	17535732.0
ERR160153_1	23.135709753971696	43.0	101.0	101	0.0	27912691.0
ERR160153_1_val_1	23.463451720703247	43.0	93.0998380276881	96	9.090909090909092	26504530.0
ERR160153_2	22.539725590807066	43.0	101.0	101	9.090909090909092	27912691.0
ERR160153_2_val_2	22.661731144081614	43.0	92.57208394187711	96	9.090909090909092	26504530.0
ERR160154_1	21.70349841947335	43.0	101.0	101	0.0	22744682.0
ERR160154_1_val_1	22.202503905707488	43.0	93.0675555423511	96	9.090909090909092	21608871.0
ERR160154_2	21.16996169691444	43.0	101.0	101	9.090909090909092	22744682.0
ERR160154_2_val_2	21.291538330975328	43.0	92.67398042220715	96	9.090909090909092	21608871.0
ERR160155_1	20.44053733691463	43.0	101.0	101	0.0	18887968.0
ERR160155_1_val_1	20.945784928458067	43.0	93.02395722566413	96	9.090909090909092	17912049.0
ERR160155_2	20.0961176908434	43.0	101.0	101	9.090909090909092	18887968.0
ERR160155_2_val_2	20.255039554498836	43.0	92.59285679712019	96	9.090909090909092	17912049.0
ERR160156_1	21.361349495538832	43.0	101.0	101	0.0	22743870.0
ERR160156_1_val_1	21.82307497240261	43.0	92.90273107547594	96	9.090909090909092	21353932.0
ERR160156_2	20.542369368627263	43.0	101.0	101	9.090909090909092	22743870.0
ERR160156_2_val_2	20.73391388172631	43.0	92.4964610733049	96	9.090909090909092	21353932.0
ERR160157_1	22.417452462845873	43.0	101.0	101	0.0	21044557.0
ERR160157_1_val_1	22.78264473730053	43.0	92.95407295388144	96	9.090909090909092	19737346.0
ERR160157_2	21.686289132930085	43.0	101.0	101	9.090909090909092	21044557.0
ERR160157_2_val_2	21.806894805147962	43.0	92.56464764816911	96	9.090909090909092	19737346.0
ERR160158_1	21.876202952711466	43.0	101.0	101	0.0	20719794.0
ERR160158_1_val_1	22.34083645129553	43.0	92.94449155131966	96	9.090909090909092	19537134.0
ERR160158_2	20.99992021928024	43.0	101.0	101	9.090909090909092	20719794.0
ERR160158_2_val_2	21.201493462187287	43.0	92.61892189509474	96	9.090909090909092	19537134.0
ERR160159_1	21.299120180026875	43.0	101.0	101	0.0	21047562.0
ERR160159_1_val_1	21.231934962952693	43.0	92.96274692294007	96	9.090909090909092	19880747.0
ERR160159_2	19.710886438739237	43.0	101.0	101	0.0	21047562.0
ERR160159_2_val_2	19.68248689891692	43.0	92.64124330941891	96	9.090909090909092	19880747.0
ERR160160_1	18.014723827116825	43.0	101.0	101	0.0	17165877.0
ERR160160_1_val_1	18.294939359288435	43.0	92.88982722719378	96	9.090909090909092	16128985.0
ERR160160_2	16.723833703041223	43.0	101.0	101	0.0	17165877.0
ERR160160_2_val_2	16.88256547631684	43.0	92.45946338222771	96	9.090909090909092	16128985.0
ERR160161_1	19.450742072616734	43.0	101.0	101	0.0	14868403.0
ERR160161_1_val_1	18.74565962655734	43.0	92.76092201708826	96	9.090909090909092	13659313.0
ERR160161_2	17.596879210284627	43.0	101.0	101	0.0	14868403.0
ERR160161_2_val_2	17.1256480770612	43.0	92.46425438819654	96	9.090909090909092	13659313.0
ERR160162_1	19.46271051283979	43.0	101.0	101	0.0	25958006.0
ERR160162_1_val_1	19.67171113040959	43.0	92.9810994817311	96	9.090909090909092	24627949.0
ERR160162_2	18.069724327330277	43.0	101.0	101	0.0	25958006.0
ERR160162_2_val_2	18.175073879968124	43.0	92.48182307020369	96	9.090909090909092	24627949.0
ERR160163_1	20.81894956490784	43.0	101.0	101	0.0	27162997.0
ERR160163_1_val_1	20.92713113682315	43.0	92.945416634229	96	9.090909090909092	25767374.0
ERR160163_2	18.98473603120594	43.0	101.0	101	0.0	27162997.0
ERR160163_2_val_2	19.02799333078221	43.0	92.45458175132632	96	9.090909090909092	25767374.0
ERR160164_1	22.1184608911052	43.0	101.0	101	0.0	30491955.0
ERR160164_1_val_1	22.325682769299377	43.0	92.95320845643474	96	9.090909090909092	28892507.0
ERR160164_2	20.40156476354258	43.0	101.0	101	0.0	30491955.0
ERR160164_2_val_2	20.55477206541603	43.0	92.5747137138359	96	9.090909090909092	28892507.0
ERR160165_1	19.927147609926635	43.0	101.0	101	9.090909090909092	22359393.0
ERR160165_1_val_1	20.131583042790922	43.0	92.63996752258389	96	9.090909090909092	21043546.0
ERR160165_2	18.39953849094887	43.0	101.0	101	9.090909090909092	22359393.0
ERR160165_2_val_2	18.55685086319687	43.0	92.26069456164849	96	9.090909090909092	21043546.0
ERR160166_1	18.00327891681009	42.0	101.0	101	9.090909090909092	12820647.0
ERR160166_1_val_1	18.21915108133898	42.0	92.86292353017704	96	9.090909090909092	12198629.0
ERR160166_2	16.51251586554642	42.0	101.0	101	9.090909090909092	12820647.0
ERR160166_2_val_2	16.60444243202261	42.0	92.64701533262468	96	9.090909090909092	12198629.0
ERR160167_1	20.606966422226108	43.0	101.0	101	0.0	25478097.0
ERR160167_1_val_1	21.013010376307633	43.0	92.90201261028697	96	9.090909090909092	24132044.0
ERR160167_2	18.531075824752037	43.0	101.0	101	0.0	25478097.0
ERR160167_2_val_2	18.759703868258995	43.0	92.52368469077878	96	9.090909090909092	24132044.0
ERR160168_1	20.826363657341645	43.0	101.0	101	0.0	19058177.0
ERR160168_1_val_1	20.933557990417412	43.0	93.00355773860679	96	9.090909090909092	17941453.0
ERR160168_2	19.110435293809374	44.0	101.0	101	0.0	19058177.0
ERR160168_2_val_2	19.096115062775752	43.0	92.55028196434257	96	9.090909090909092	17941453.0
ERR160169_1	18.776962835602433	42.0	101.0	101	9.090909090909092	17376949.0
ERR160169_1_val_1	18.99709725807766	42.0	92.8818490603817	96	9.090909090909092	16371169.0
ERR160169_2	17.190253069775935	43.0	101.0	101	9.090909090909092	17376949.0
ERR160169_2_val_2	17.241347881248714	43.0	92.62666056406846	96	9.090909090909092	16371169.0
ERR160170_1	18.6906729064699	43.0	101.0	101	0.0	24898286.0
ERR160170_1_val_1	19.188488797837763	43.0	92.92181494656026	96	9.090909090909092	23542313.0
ERR160170_2	17.33912067239281	43.0	101.0	101	9.090909090909092	24898286.0
ERR160170_2_val_2	17.45894529414217	43.0	92.49409495150286	96	9.090909090909092	23542313.0
ERR160171_1	19.15620680568304	43.0	101.0	101	0.0	20875547.0
ERR160171_1_val_1	19.59361208863588	43.0	92.65696629867175	96	9.090909090909092	19405793.0
ERR160171_2	17.30241121406428	44.0	101.0	101	9.090909090909092	20875547.0
ERR160171_2_val_2	17.667925307026692	44.0	92.43596940356933	96	9.090909090909092	19405793.0
ERR160172_1	19.524944349470502	43.0	101.0	101	0.0	28290156.0
ERR160172_1_val_1	20.13177320923225	43.0	92.78907578598628	96	9.090909090909092	26488789.0
ERR160172_2	17.86902770511911	43.0	101.0	101	0.0	28290156.0
ERR160172_2_val_2	18.232659275178165	43.0	92.50852215252272	96	9.090909090909092	26488789.0
ERR160173_1	38.43138296279508	43.0	101.0	101	27.27272727272727	27550640.0
ERR160173_1_val_1	39.49815405978349	42.0	89.592462359489	94	18.181818181818183	22823747.0
ERR160173_2	33.04667611191536	43.0	101.0	101	27.27272727272727	27550640.0
ERR160173_2_val_2	34.06156291448309	43.0	88.3269944238341	94	18.181818181818183	22823747.0
ERR160174_1	37.18552051077564	43.0	101.0	101	18.181818181818183	36270147.0
ERR160174_1_val_1	38.35122849803921	43.0	89.39001323825244	94	9.090909090909092	29382277.0
ERR160174_2	31.337582544570267	44.0	101.0	101	18.181818181818183	36270147.0
ERR160174_2_val_2	32.49943453454286	43.0	88.00307906701717	94	18.181818181818183	29382277.0
ERR160175_1	38.04657527306053	43.0	101.0	101	18.181818181818183	47021799.0
ERR160175_1_val_1	39.247095235469054	43.0	89.42613753136332	94	9.090909090909092	38083895.0
ERR160175_2	32.15316382051918	44.0	101.0	101	18.181818181818183	47021799.0
ERR160175_2_val_2	33.39783333461742	43.0	87.92793688775794	94	18.181818181818183	38083895.0
ERR160176_1	37.87222660677878	43.0	101.0	101	18.181818181818183	30171413.0
ERR160176_1_val_1	39.29547091171267	42.0	89.0417956051344	94	9.090909090909092	23590710.0
ERR160176_2	32.001770993073904	43.0	101.0	101	18.181818181818183	30171413.0
ERR160176_2_val_2	33.63682887687351	43.0	88.01692691741792	94	18.181818181818183	23590710.0
ERR160177_1	36.32261706971224	43.0	101.0	101	18.181818181818183	39278531.0
ERR160177_1_val_1	37.4092878760066	43.0	88.94229822294918	94	9.090909090909092	31685194.0
ERR160177_2	30.672098121310313	44.0	101.0	101	18.181818181818183	39278531.0
ERR160177_2_val_2	31.953589715404078	43.0	87.75096033813143	94	18.181818181818183	31685194.0
ERR160178_1	38.673241204754085	43.0	101.0	101	18.181818181818183	44693216.0
ERR160178_1_val_1	39.8673755564797	43.0	89.10688758178736	94	9.090909090909092	36760725.0
ERR160178_2	32.99564981009786	44.0	101.0	101	18.181818181818183	44693216.0
ERR160178_2_val_2	34.2747519355771	43.0	87.96741359154369	94	18.181818181818183	36760725.0
ERR160179_1	37.34647343873252	43.0	101.0	101	18.181818181818183	38603913.0
ERR160179_1_val_1	38.55557542722355	43.0	88.95454122093759	94	9.090909090909092	31189817.0
ERR160179_2	31.51869634838644	44.0	101.0	101	18.181818181818183	38603913.0
ERR160179_2_val_2	32.86842195534089	43.0	88.02825550403197	94	18.181818181818183	31189817.0
ERR160180_1	30.631428141956647	44.0	101.0	101	18.181818181818183	35329542.0
ERR160180_1_val_1	32.68029423966476	44.0	92.2068776527957	96	18.181818181818183	31525232.0
ERR160180_2	30.26720120036785	45.0	101.0	101	0.0	35329542.0
ERR160180_2_val_2	30.695344516603157	44.0	91.98022777437451	96	9.090909090909092	31525232.0
ERR160181_1	21.265572608563872	43.0	101.0	101	9.090909090909092	25988144.0
ERR160181_1_val_1	23.87054379269641	43.0	92.28375424568897	96	18.181818181818183	24180410.0
ERR160181_2	21.68084296154541	43.0	101.0	101	0.0	25988144.0
ERR160181_2_val_2	21.82871872980077	43.0	92.0519526343846	96	9.090909090909092	24180410.0
ERR160182_1	18.712511476576992	44.0	101.0	101	9.090909090909092	17468342.0
ERR160182_1_val_1	21.96319210336013	43.0	91.4766506027258	96	18.181818181818183	15395558.0
ERR160182_2	18.89413560221483	44.0	101.0	101	0.0	17468342.0
ERR160182_2_val_2	19.931476699637813	43.0	91.77505862405248	96	9.090909090909092	15395558.0
ERR160183_1	18.930992455619673	43.0	101.0	101	18.181818181818183	24308486.0
ERR160183_1_val_1	21.49456378276963	43.0	92.00472790799253	96	18.181818181818183	22271584.0
ERR160183_2	19.18873730411336	44.0	101.0	101	9.090909090909092	24308486.0
ERR160183_2_val_2	19.602263210827815	44.0	91.88851893066968	96	9.090909090909092	22271584.0
ERR160184_1	19.4343257942796	43.0	101.0	101	9.090909090909092	20469304.0
ERR160184_1_val_1	22.147029498753938	43.0	92.0474147010981	96	18.181818181818183	18584911.0
ERR160184_2	19.69262623149119	43.0	101.0	101	0.0	20469304.0
ERR160184_2_val_2	20.28096738256538	43.0	91.91863194825092	96	9.090909090909092	18584911.0
ERR160185_1	18.700657457790186	43.0	101.0	101	9.090909090909092	19829337.0
ERR160185_1_val_1	21.16743718363277	42.0	92.178934787584	96	18.181818181818183	18167982.0
ERR160185_2	19.03304069117719	43.0	101.0	101	9.090909090909092	19829337.0
ERR160185_2_val_2	19.32299302600373	43.0	91.98241918117269	96	9.090909090909092	18167982.0
ERR160186_1	22.31713276010275	43.0	101.0	101	9.090909090909092	20920867.0
ERR160186_1_val_1	24.82168464513869	43.0	92.18601226031325	96	18.181818181818183	19223163.0
ERR160186_2	22.59717170578452	43.0	101.0	101	0.0	20920867.0
ERR160186_2_val_2	22.651334081971612	43.0	92.07438755006135	96	9.090909090909092	19223163.0
ERR160187_1	18.416816498800657	43.0	101.0	101	9.090909090909092	16107849.0
ERR160187_1_val_1	19.98478375752765	43.0	91.91097920915654	96	18.181818181818183	14429910.0
ERR160187_2	18.72878229201885	43.0	101.0	101	0.0	16107849.0
ERR160187_2_val_2	19.2795835467153	43.0	91.97919169281028	96	9.090909090909092	14429910.0
ERR160188_1	23.292474243723206	43.0	101.0	101	9.090909090909092	22786782.0
ERR160188_1_val_1	24.96446929977199	43.0	92.0857024299994	96	18.181818181818183	21048318.0
ERR160188_2	24.213230219303952	43.0	101.0	101	0.0	22786782.0
ERR160188_2_val_2	24.563258224089452	43.0	91.97639459837123	96	9.090909090909092	21048318.0
ERR160189_1	20.091063859500935	43.0	101.0	101	9.090909090909092	22673227.0
ERR160189_1_val_1	21.493160625273504	43.0	92.31131566796758	96	18.181818181818183	21220506.0
ERR160189_2	20.750596277838767	43.0	101.0	101	0.0	22673227.0
ERR160189_2_val_2	20.75006679620276	43.0	92.2089001082255	96	9.090909090909092	21220506.0
ERR160190_1	21.12243989325397	44.0	101.0	101	9.090909090909092	28489923.0
ERR160190_1_val_1	22.526397695272024	44.0	91.84564351354722	96	18.181818181818183	25835338.0
ERR160190_2	21.362134611233074	44.0	101.0	101	0.0	28489923.0
ERR160190_2_val_2	21.590848772615743	44.0	92.01609036429096	96	9.090909090909092	25835338.0
ERR160191_1	21.185356148000366	43.0	101.0	101	9.090909090909092	27670533.0
ERR160191_1_val_1	22.953860283756995	43.0	92.12823700499621	96	18.181818181818183	25652455.0
ERR160191_2	21.723389124978667	43.0	101.0	101	0.0	27670533.0
ERR160191_2_val_2	22.02670491407659	43.0	92.07717545942484	96	9.090909090909092	25652455.0
ERR160192_1	19.73627514508911	43.0	101.0	101	9.090909090909092	27363706.0
ERR160192_1_val_1	21.067912727357665	43.0	92.25536280664856	96	18.181818181818183	25454302.0
ERR160192_2	20.037171665192105	44.0	101.0	101	0.0	27363706.0
ERR160192_2_val_2	20.069218227866685	44.0	92.0750493963653	96	9.090909090909092	25454302.0
ERR160193_1	16.29927521825222	44.0	101.0	101	18.181818181818183	16928157.0
ERR160193_1_val_1	17.373125573397957	43.0	91.00376139715914	94	18.181818181818183	14791844.0
ERR160193_2	15.873247821450093	44.0	101.0	101	9.090909090909092	16928157.0
ERR160193_2_val_2	16.178652762524422	44.0	91.36250963706756	96	9.090909090909092	14791844.0
ERR160194_1	23.02353425283404	43.0	101.0	101	9.090909090909092	29272515.0
ERR160194_1_val_1	23.628658158720086	43.0	91.86827345982232	96	9.090909090909092	27201261.0
ERR160194_2	21.517822156611814	43.0	101.0	101	9.090909090909092	29272515.0
ERR160194_2_val_2	21.665326174235005	43.0	91.78255191919227	96	18.181818181818183	27201261.0
ERR160195_1	20.21548564067443	43.0	101.0	101	9.090909090909092	19793219.0
ERR160195_1_val_1	20.810014380304466	42.0	91.79374961087626	96	9.090909090909092	18197939.0
ERR160195_2	18.693235492500293	43.0	101.0	101	9.090909090909092	19793219.0
ERR160195_2_val_2	18.86207873226155	43.0	91.5158073669771	96	18.181818181818183	18197939.0
ERR160196_1	22.960590452568823	42.0	101.0	101	9.090909090909092	18753713.0
ERR160196_1_val_1	23.72800225448654	42.0	91.85761701412403	96	9.090909090909092	17181772.0
ERR160196_2	21.83801836255688	42.0	101.0	101	9.090909090909092	18753713.0
ERR160196_2_val_2	22.104278779893733	42.0	91.69373240431779	96	18.181818181818183	17181772.0
ERR166338_1	17.863163617970798	41.0	101.0	101	0.0	78849364.0
ERR166338_1_val_1	18.550091111327433	41.0	92.42947525100837	96	9.090909090909092	74004106.0
ERR166338_2	17.180439639168725	41.0	101.0	101	9.090909090909092	78849364.0
ERR166338_2_val_2	17.699989473437256	41.0	90.84236504390717	94	9.090909090909092	74004106.0
ERR166339_1	27.83037177750714	42.0	101.0	101	0.0	70770521.0
ERR166339_1_val_1	28.531331468135562	42.0	92.15281670163539	96	9.090909090909092	65207794.0
ERR166339_2	24.93928821721984	42.0	101.0	101	9.090909090909092	70770521.0
ERR166339_2_val_2	26.273758155929627	42.0	90.03705848414378	94	9.090909090909092	65207794.0
